file,flight,date_local,origin,dest,dep_rwy,dep_rwy_hdg,arr_rwy,arr_rwy_hdg,dep_metar,dep_wind_from,dep_wind_kt,dep_gust_kt,dep_vis_sm,dep_wx,dep_temp_c,dep_headwind_kt,dep_crosswind_kt,dep_wind_favours,arr_metar,arr_wind_from,arr_wind_kt,arr_gust_kt,arr_vis_sm,arr_wx,arr_temp_c,arr_headwind_kt,arr_crosswind_kt,arr_wind_favours,dep_qnh_inhg
UR321-418856b0.csv,UGD321,06SEP26,DAR,EBB,05,45.0,17,172.1,11:00,130.0,7.0,,6.21,M,32.0,0.6,7.0,14,12:30,180.0,10.0,,6.21,M,30.0,9.9,1.4,17,30.03
UR121-4188a506.csv,UGD121,06SEP26,JUB,EBB,13,130.0,17,172.1,,,,,,,,,,,14:00,180.0,9.0,,6.21,M,29.0,8.9,1.2,17,
UR901-41889775.csv,UGD901,06SEP26,LOS,EBB,18R,180.0,17,172.1,13:00,170.0,7.0,,6.21,M,30.0,6.9,-1.2,18L,17:30,230.0,3.0,,6.21,M,26.0,1.6,2.5,17,29.94
UR360-4188a946.csv,UGD360,06SEP26,EBB,BJM,17,172.1,17,172.0,12:30,180.0,10.0,,6.21,M,30.0,9.9,1.4,17,14:00,180.0,18.0,,4.97,M,32.0,17.8,2.5,17,30.0
UR206-4188ec01.csv,UGD206,06SEP26,EBB,NBO,17,172.1,06,54.0,14:00,180.0,9.0,,6.21,M,29.0,8.9,1.2,17,15:30,100.0,13.0,,6.21,M,24.0,9.0,9.4,06,29.97
UR361-41891720.csv,UGD361,06SEP26,BJM,EBB,17,172.0,17,172.1,15:00,180.0,20.0,,4.97,M,31.0,19.8,2.8,17,16:00,180.0,4.0,,6.21,M,27.0,4.0,0.5,17,29.85
UR342-418926f5.csv,UGD342,06SEP26,EBB,MBA,17,172.1,21,209.0,15:30,180.0,5.0,,6.21,M,27.0,5.0,0.7,17,17:00,180.0,5.0,,6.21,M,26.0,4.4,-2.4,21,30.0
UR207-41896043.csv,UGD207,06SEP26,NBO,EBB,06,54.0,17,172.1,16:30,90.0,12.0,,6.21,M,22.0,9.7,7.1,06,17:30,230.0,3.0,,6.21,M,26.0,1.6,2.5,17,30.21
UR343-4189a5fc.csv,UGD343,06SEP26,MBA,EBB,21,209.0,17,172.1,18:00,150.0,3.0,,6.21,M,25.0,1.5,-2.6,15,19:30,310.0,6.0,,6.21,M,24.0,-4.5,4.0,30,30.03
UR720-4189a8d4.csv,UGD720,06SEP26,EBB,LUN,17,172.1,10,95.2,18:30,270.0,2.0,,6.21,M,25.0,-0.3,2.0,,20:00,120.0,6.0,,6.21,M,20.0,5.4,2.5,15,30.06
